STARDUST_SAVEPOINT_V1
simulationTime=4.6623112545E11
stepCount=902071255
totalMerges=42759
totalBounces=30806
totalFragmentations=18858
totalEscapes=0
totalStarFalls=0
particleCount=310

PARTICLES:
14312,-6.196723057230334E10,5.8270269241109276E10,-1.4909676061905468E8,-25895.170710881986,-29970.393617980284,637.9796954693585,3.4236188920462148E19,-8.960302881078635E-10,100.0,433975.8891547771,0
14375,-5.59289272196465E10,4.0638347204774025E10,-2.5164529694613457E7,-24508.67105953061,-36395.78184627614,195.73649778559567,1.6591788734907718E20,-5.14435244828844E-10,100.0,734403.71758855,0
14445,4.80096855605108E10,3.4712553230971856E9,-4.97741180868762E8,-4141.737953537559,52251.06853314969,654.5752208750596,1.4685495435954941E20,-5.582951410770553E-10,100.0,705125.8957689246,0
14467,-3.888330738068187E10,5.779905960842269E10,9.122097623311613E8,-36693.97602028682,-23971.701450634577,951.8578371868028,3.19845916709489E19,5.40274941210122E-10,100.0,424245.65243098483,0
15580,5.65192371767179E9,-5.935433272776538E10,-2.2278091187881783E8,47435.63090645641,4182.3230118344145,271.35159954086856,1.498934561678351E16,1.0543792698676865E-15,100.0,32953.23241449372,0
15583,-5.341976467390457E10,-3.900183904002752E10,-4.7954261538006794E8,25371.679720067576,-36529.59459524212,-582.3022942447519,9.888548653894458E16,6.955794453141482E-15,100.00000000000001,61803.72457773381,0
15610,-1.5953636836120813E10,-5.9756719804990944E10,1.7469621497431657E8,44611.3357055206,-11723.971884138022,-668.9003669683868,2.1974380674204624E17,1.5457200096260282E-14,107.59706442467517,67773.64563748885,5
15615,5.876814029348665E10,1.4419190891274534E10,-4.97625485693491E8,-12263.302399647237,44962.81881504274,-165.2308376354147,7.440393129892766E14,5.2337149842224416E-17,102.0,11003.29725759446,1
16241,-5.197521756007011E10,5.033120985171068E10,5.9853717576288946E7,-30770.225631641755,-29719.468919150804,-388.4409077946906,3.539806862851754E18,1.681678473807236E-11,99.99999999999999,203687.15984247526,0
17586,3.568086521777375E10,1.010948707292799E11,8.457408523193077E8,-33455.96358800193,11234.638229921102,168.49224218175297,7.116281015447176E16,-9.40905580495986E-15,102.87739030809351,54863.24784471256,0
18676,3.0510413224253124E10,-9.624456809736978E10,-1.7368110191915388E9,34078.40649617764,10600.148243114312,56.43778352062873,1.690508304471415E16,-1.4665559632774314E-13,100.00000000000003,34301.21995541304,0
18740,-1.0096655463622943E11,-1.902253777405009E10,1.1877760006858993E9,7373.162046772059,-34595.01908709985,44.641228016410544,8.857291698911994E16,-7.683910173744266E-13,114.72134681710159,52048.69505455427,1
20127,-4.1253041167249954E10,-1.6421419447019821E10,9.980029847649911E7,20780.80209844563,-50325.06341048378,41.02957929793119,8.27633593545524E19,-8.103228158859182E-10,107.79572731200005,537058.8215610661,4
20334,4.9802477314464874E10,-7.111809935017735E10,1.5116550948499784E9,31587.74308689253,22781.38749138055,74.14127091699795,1.2668441300664259E19,2.7599933447256238E-11,100.0,311562.26904062164,0
20605,-4.2584029956974304E10,-6.351781906669195E10,4.9948895790378314E8,35366.197758182534,-21862.009196765288,-575.9234666002615,3.2818471063880466E20,1.405423427433848E-9,102.0,837587.7805121912,1
21054,9.321422696302768E10,-2.6411696805473125E10,-1.3290124613348236E9,9904.415739318487,35559.00348343425,-152.55466792603147,3.5192872300043166E19,-1.7184030926293708E-10,100.0,437981.0981020068,0
22365,1.5744972961493336E10,9.674098113648634E10,-9.52339778337114E8,-36621.08712565003,5654.60631581712,124.62984269415772,1.8394359721533143E19,1.2913983518908927E-11,100.0,352802.7990097546,0
23006,-2.109794765457247E10,8.318561417207057E10,-1.2685080097968662E9,-38810.54445976584,-7904.644756995461,-107.84255622829718,1.977204223716267E17,-1.199914652362837E-12,100.0,77861.17859586682,0
23100,3.6759698420548387E9,-1.004908217515898E11,-2.1154021610085783E9,36282.06616265145,1887.235785270575,-569.5905378404398,7.802664608953547E19,-1.2934711860904572E-9,102.00000000000001,567296.1715628685,1
24284,-1.274811834272803E10,-9.766548969993166E10,1.960437754517113E8,37091.99061345349,-4254.623317989336,692.384867063697,2.8008821100372812E16,-2.044962247005236E-14,104.94670279333872,37855.390516450374,2
26155,8.556679582693474E10,2.6415193130654945E10,3.2928144633116335E8,-10593.56025123755,37331.520126233554,-64.7550430815447,8.638743045253933E19,-1.9519217457306468E-10,100.0,590818.3594028828,0
27178,1.4638479636186539E10,7.032637932724788E10,-3155935.521709006,-41652.547389698884,9446.275395721046,47.79383609209324,6.459943583741783E13,-1.077702092342592E-16,104.9156559850955,4699.659369287161,1
27515,3.0871199476395912E10,4.310142923499693E10,-7.278385988444923E8,-40363.648874850405,28672.8876459303,-66.46604663199906,7.192082395225162E15,-7.763450213029955E-15,102.73490788381741,24080.65845017386,3
28587,2.259020488692176E10,-4.418993861551579E10,2.1770615064101073E8,45143.54619584005,25547.12756761069,23.929567336301332,3.281168588469255E17,-2.783872612987876E-12,99.99999999999999,92182.11013812714,0
28856,2.1295114355853344E10,-4.360111517517237E10,3.001701994004014E7,46496.1545939154,22734.881615102287,-177.10165446534833,5.719896528988688E16,-2.3854275851122663E-13,100.0,51495.172951847206,0
28883,3.3498798542526157E10,4.094511887600283E10,1.0381352908694845E8,-38275.5270999357,31525.868355389197,79.45675883905884,4.72981340374709E15,-1.972522983335659E-14,102.0,21749.14792568191,1
28937,1.6986976694474903E10,-1.0455230954724211E11,1.703050623023915E8,34687.69048900936,5200.420425281959,-422.3565810590306,1.28455447502848E19,1.1413742080458042E-11,100.00000000000001,313007.4244709343,0
29095,9.34810065856172E10,-3.731136521222622E10,6.51368528010358E8,11913.157510630634,33817.506596251114,-512.6325510429716,2.4639585979781536E16,-2.544704105138375E-13,108.52730924405887,35264.7395286216,4
30968,6.85707844384973E10,3.008720140347704E10,-1.583617229610073E8,-16431.60396045883,39905.24936832936,14.71245013816576,7.838931058286992E16,8.424754394331178E-13,103.60326428123042,56528.17077948563,0
